ParticipantName,Condition,Age,Sex,Order,Category,FinalNovPref,FamLooking,Excl,firstHalf,lastHalf,TestPosition,Elog,CondIQR,Quant2,Quant4,IQR.Outlier
SSL100,USL,25.79,F,O4,Cat1,0.246666667,1008,Good,8.466666667,8.333333333,Left,-1.113750601,1.102507203,-0.725516721,0.376990482,In
SSL101,USL,26.09,F,O1,Cat2,0.44,875,Good,7.4,7.183333333,Right,-0.24067603,1.102507203,-0.725516721,0.376990482,In
SSL102,USL,25.76,M,O2,Cat2,0.593333333,794,Good,5.816666667,7.416666667,Right,0.376990482,1.102507203,-0.725516721,0.376990482,In
SSL103,USL,25.79,F,O3,Cat1,0.256666667,827,Good,6.916666667,6.866666667,Left,-1.060822203,1.102507203,-0.725516721,0.376990482,In
SSL104,USL,25.69,F,O4,Cat1,0.63,1017,Good,8.733333333,8.216666667,Right,0.5311038,1.102507203,-0.725516721,0.376990482,In
SSL110,USL,28.68,F,O2,Cat2,0.553903346,737,Good,6.716666667,5.566666667,Left,0.216019147,1.102507203,-0.725516721,0.376990482,In
SSL114,USL,26.31,F,O3,Cat1,0.736666667,1013,Good,8.016666667,8.866666667,Right,1.026281118,1.102507203,-0.725516721,0.376990482,In
SSL115,USL,25.76,M,O4,Cat1,0.786666667,1083,Good,9.583333333,8.466666667,Left,1.301542553,1.102507203,-0.725516721,0.376990482,In
SSL116,USL,25.66,M,O1,Cat2,0.593333333,869,Good,7.416666667,7.066666667,Left,0.376990482,1.102507203,-0.725516721,0.376990482,In
SSL117,USL,26.09,M,O2,Cat2,0.436666667,696,Good,5.533333333,6.066666667,Right,-0.254187508,1.102507203,-0.725516721,0.376990482,In
SSL120,USL,28.39,F,O3,Cat1,0.52,974,Good,7.916666667,8.316666667,Left,0.079882772,1.102507203,-0.725516721,0.376990482,In
SSL122,USL,26.48,M,O4,Cat1,0.763333333,879,Good,8.15,6.5,Right,1.168134862,1.102507203,-0.725516721,0.376990482,In
SSL123,USL,28.36,M,O1,Cat2,0.566666667,792,Good,8.183333333,5.016666667,Right,0.267722104,1.102507203,-0.725516721,0.376990482,In
SSL124,USL,25.56,F,O2,Cat2,0.363333333,942,Good,7.8,7.9,Left,-0.559746481,1.102507203,-0.725516721,0.376990482,In
SSL125,USL,25.56,M,O3,Cat1,0.283333333,986,Good,8.316666667,8.116666667,Right,-0.92585795,1.102507203,-0.725516721,0.376990482,In
SSL128,USL,25.66,M,O4,Cat1,0.166666667,873,Good,7.433333333,7.116666667,Left,-1.604655121,1.102507203,-0.725516721,0.376990482,In
SSL129,USL,27.4,M,O1,Cat2,0.533333333,596,Good,5.983333333,3.95,Right,0.133264073,1.102507203,-0.725516721,0.376990482,In
SSL162,USL,29.74,M,O2,Cat2,0.323333333,1016,Good,8.416666667,8.516666667,Right,-0.736883731,1.102507203,-0.725516721,0.376990482,In
SSL248,USL,28.59,F,O2,Cat2,0.22,931,Good,7.716666667,7.8,Left,-1.262412448,1.102507203,-0.725516721,0.376990482,In
SSL249,USL,28.75,F,O3,Cat1,0.326666667,909,Good,7.966666667,7.183333333,Left,-0.721727717,1.102507203,-0.725516721,0.376990482,In
SSL250,USL,26.74,M,O4,Cat1,0.55,921,Good,7.766666667,7.583333333,Right,0.20026747,1.102507203,-0.725516721,0.376990482,In
SSL254,USL,29.44,M,O1,Cat2,0.783333333,875,Good,7.683333333,6.9,Left,1.281869259,1.102507203,-0.725516721,0.376990482,In
SSL92,USL,26.45,M,O3,Cat1,0.516666667,904,Good,7.65,7.416666667,Right,0.06655816,1.102507203,-0.725516721,0.376990482,In
SSL96,USL,25.79,F,O2,Cat2,0.47,995,Good,8.266666667,8.316666667,Left,-0.119903927,1.102507203,-0.725516721,0.376990482,In
SSL257,reversed,29.77,M,O1,Cat2,0.476666667,861,Good,7.283333333,7.066666667,Left,-0.093214475,0.75512579,-0.352999324,0.402126466,In
SSL265,reversed,26.18,M,O2,Cat2,0.517948718,612,Good,5.416666667,4.783333333,Left,0.071682247,0.75512579,-0.352999324,0.402126466,In
SSL269,reversed,26.15,F,O3,Cat1,0.573333333,912,Good,6.95,8.25,Right,0.294865872,0.75512579,-0.352999324,0.402126466,In
SSL282,reversed,26.61,F,O4,Cat1,0.453333333,867,Good,6.55,7.9,Left,-0.186835686,0.75512579,-0.352999324,0.402126466,In
SSL285,reversed,27.04,F,O2,Cat2,0.313333333,765,Good,6.466666667,6.283333333,Right,-0.78285023,0.75512579,-0.352999324,0.402126466,In
SSL292,reversed,27.99,M,O2,Cat2,0.713333333,922,Good,7.866666667,7.5,Right,0.909547304,0.75512579,-0.352999324,0.402126466,In
SSL304,reversed,27.96,M,O1,Cat2,0.566666667,505,Good,4.7,3.716666667,Left,0.267722104,0.75512579,-0.352999324,0.402126466,In
SSL305,reversed,26.48,F,O2,Cat2,0.573333333,985,Good,8.266666667,8.15,Left,0.294865872,0.75512579,-0.352999324,0.402126466,In
SSL306,reversed,26.32,F,O3,Cat1,0.49,578,Good,6.566666667,3.066666667,Left,-0.039925462,0.75512579,-0.352999324,0.402126466,In
SSL308,reversed,25.95,M,O1,Cat2,0.416666667,785,Good,5.65,7.433333333,Right,-0.33578793,0.75512579,-0.352999324,0.402126466,In
SSL310,reversed,28.78,M,O3,Cat1,0.27,1048,Good,8.516666667,8.95,Right,-0.992294639,0.75512579,-0.352999324,0.402126466,In
SSL314,reversed,27.66,M,O1,Cat2,0.71,696,Good,7.75,3.85,Left,0.893349163,0.75512579,-0.352999324,0.402126466,In
SSL315,reversed,28.19,F,O2,Cat2,0.726666667,757,Good,6.883333333,5.733333333,Left,0.975499156,0.75512579,-0.352999324,0.402126466,In
SSL316,reversed,27.73,F,O3,Cat1,0.523333333,864,Good,7.633333333,6.766666667,Left,0.093214475,0.75512579,-0.352999324,0.402126466,In
SSL317,reversed,28.67,F,O4,Cat1,0.486666667,741,Good,7.883333333,4.466666667,Left,-0.053239451,0.75512579,-0.352999324,0.402126466,In
SSL318,reversed,28.65,F,O1,Cat2,0.365,375,Good,3.383333333,2.866666667,Right,-0.55256523,0.75512579,-0.352999324,0.402126466,In
SSL319,reversed,29.64,F,O1,Cat2,0.4,619,Good,5.95,4.366666667,Left,-0.404633507,0.75512579,-0.352999324,0.402126466,In
SSL321,reversed,27.79,M,O2,Cat2,0.39,946,Good,7.683333333,8.083333333,Right,-0.446389399,0.75512579,-0.352999324,0.402126466,In
SSL323,reversed,25.99,M,O3,Cat1,0.646209386,824,Good,7.15,6.583333333,Right,0.601142074,0.75512579,-0.352999324,0.402126466,In
SSL325,reversed,25.72,M,O1,Cat2,0.667938931,484,Good,3.3,4.766666667,Right,0.69736691,0.75512579,-0.352999324,0.402126466,In
SSL326,reversed,25.5,F,O2,Cat2,0.566666667,719,Good,4.45,7.533333333,Left,0.267722104,0.75512579,-0.352999324,0.402126466,In
SSL327,reversed,25.99,F,O4,Cat1,0.583333333,646,Good,4.916666667,5.85,Left,0.33578793,0.75512579,-0.352999324,0.402126466,In
SSL328,reversed,26.09,F,O4,Cat1,0.69,815,Good,7.5,6.083333333,Right,0.798346912,0.75512579,-0.352999324,0.402126466,In
SSL329,reversed,26.68,M,O1,Cat2,0.366666667,793,Good,7.266666667,5.95,Left,-0.545397848,0.75512579,-0.352999324,0.402126466,In
SSL189,SSL,26.32,F,O1,Cat2,0.57,978,Good,8.316666667,7.983333333,Right,0.28128112,0.895148404,-0.173420687,0.721727717,In
SSL192,SSL,27,F,O4,Cat1,0.366666667,919,Good,7.516666667,7.8,Left,-0.545397848,0.895148404,-0.173420687,0.721727717,In
SSL193,SSL,27.63,F,O2,Cat2,0.64,851,Good,7.133333333,7.05,Left,0.574151499,0.895148404,-0.173420687,0.721727717,In
SSL194,SSL,25.69,F,O3,Cat1,0.814977974,719,Good,6.3,5.683333333,Right,1.478522273,0.895148404,-0.173420687,0.721727717,In
SSL202,SSL,27.17,M,O4,Cat1,0.426666667,729,Good,7.066666667,5.083333333,Right,-0.294865872,0.895148404,-0.173420687,0.721727717,In
SSL204,SSL,29.21,M,O2,Cat2,0.613333333,931,Good,7.633333333,7.883333333,Right,0.460391805,0.895148404,-0.173420687,0.721727717,In
SSL207,SSL,28.72,M,O3,Cat1,0.37,692,Good,5.25,6.283333333,Left,-0.5311038,0.895148404,-0.173420687,0.721727717,In
SSL208,SSL,27.3,F,O4,Cat1,0.363333333,613,Good,6.366666667,3.85,Left,-0.559746481,0.895148404,-0.173420687,0.721727717,In
SSL210,SSL,28.19,M,O1,Cat2,0.456666667,966,Good,7.733333333,8.366666667,Right,-0.173420687,0.895148404,-0.173420687,0.721727717,In
SSL211,SSL,28.82,M,O2,Cat2,0.766666667,512,Good,2.083333333,6.45,Left,1.186611008,0.895148404,-0.173420687,0.721727717,In
SSL213,SSL,26.41,F,O3,Cat1,0.766666667,982,Good,8.083333333,8.283333333,Right,1.186611008,0.895148404,-0.173420687,0.721727717,In
SSL221,SSL,29.08,M,O4,Cat1,0.68,1009,Good,8.55,8.266666667,Right,0.752121183,0.895148404,-0.173420687,0.721727717,In
SSL225,SSL,26.45,M,O1,Cat2,0.593333333,321,Good,5.35,0,Left,0.376990482,0.895148404,-0.173420687,0.721727717,In
SSL226,SSL,27.27,F,O2,Cat2,0.486666667,957,Good,8.066666667,7.883333333,Right,-0.053239451,0.895148404,-0.173420687,0.721727717,In
SSL227,SSL,29.47,F,O3,Cat1,0.64,878,Good,7.483333333,7.15,Left,0.574151499,0.895148404,-0.173420687,0.721727717,In
SSL229,SSL,28.72,M,O4,Cat1,0.55,702,Good,4.983333333,6.716666667,Left,0.20026747,0.895148404,-0.173420687,0.721727717,In
SSL232,SSL,26.58,M,O1,Cat2,0.603333333,999,Good,8.466666667,8.183333333,Right,0.418511789,0.895148404,-0.173420687,0.721727717,In
SSL233,SSL,26.55,F,O2,Cat2,0.483333333,789,Good,7.016666667,6.133333333,Left,-0.06655816,0.895148404,-0.173420687,0.721727717,In
SSL234,SSL,26.55,M,O3,Cat1,0.655870445,911,Good,7.866666667,7.316666667,Right,0.643566941,0.895148404,-0.173420687,0.721727717,In
SSL236,SSL,27.5,F,O4,Cat1,0.806666667,266,Good,2.533333333,1.9,Right,1.424574534,0.895148404,-0.173420687,0.721727717,In
SSL237,SSL,25.89,M,O1,Cat2,0.753333333,803,Good,6.933333333,6.45,Left,1.113750601,0.895148404,-0.173420687,0.721727717,In
SSL240,SSL,27.07,F,O2,Cat2,0.673333333,820,Good,7.1,6.566666667,Right,0.721727717,0.895148404,-0.173420687,0.721727717,In
SSL241,SSL,26.48,F,O3,Cat1,0.616666667,796,Good,6.166666667,7.1,Left,0.474438706,0.895148404,-0.173420687,0.721727717,In
SSL242,SSL,25.76,M,O4,Cat1,0.434146341,914,Good,7.716666667,7.516666667,Left,-0.264418781,0.895148404,-0.173420687,0.721727717,In
SSL131,FSL,25.99,M,O3,Cat1,0.706666667,901,Good,7.716666667,7.3,Right,0.877260261,0.892197883,0.026617368,0.91881525,In
SSL132,FSL,26.88,F,O4,Cat1,0.52,626,Good,5.316666667,5.116666667,Left,0.079882772,0.892197883,0.026617368,0.91881525,In
SSL133,FSL,27.4,F,O1,Cat2,0.52,832,Good,7.016666667,6.85,Left,0.079882772,0.892197883,0.026617368,0.91881525,In
SSL134,FSL,25.53,M,O2,Cat2,0.553333333,919,Good,6.466666667,8.85,Right,0.213717283,0.892197883,0.026617368,0.91881525,In
SSL135,FSL,29.47,F,O3,Cat1,0.766666667,874,Good,9.116666667,5.45,Left,1.186611008,0.892197883,0.026617368,0.91881525,In
SSL137,FSL,25.72,M,O4,Cat1,0.51,964,Good,8.016666667,8.05,Right,0.039925462,0.892197883,0.026617368,0.91881525,In
SSL138,FSL,26.02,F,O1,Cat2,0.896666667,360,Good,4.4,1.6,Right,2.152207902,0.892197883,0.026617368,0.91881525,In
SSL142,FSL,25.86,F,O2,Cat2,0.496666667,935,Good,7.883333333,7.7,Right,-0.013306916,0.892197883,0.026617368,0.91881525,In
SSL147,FSL,29.11,F,O4,Cat1,0.526666667,796,Good,6.383333333,6.883333333,Left,0.106554462,0.892197883,0.026617368,0.91881525,In
SSL150,FSL,26.91,M,O1,Cat2,0.776666667,983,Good,8.116666667,8.266666667,Left,1.243164942,0.892197883,0.026617368,0.91881525,In
SSL154,FSL,28.62,F,O2,Cat2,0.61,968,Good,7.85,8.283333333,Left,0.446389399,0.892197883,0.026617368,0.91881525,In
SSL159,FSL,26.32,F,O3,Cat1,0.673333333,437,Good,3.95,3.333333333,Left,0.721727717,0.892197883,0.026617368,0.91881525,In
SSL160,FSL,25.79,M,O4,Cat1,0.75,991,Good,8.466666667,8.05,Right,1.095952713,0.892197883,0.026617368,0.91881525,In
SSL161a,FSL,25.82,M,O1,Cat2,0.473333333,721,Good,8.316666667,3.7,Left,-0.106554462,0.892197883,0.026617368,0.91881525,In
SSL161b,FSL,25.79,M,O1,Cat2,0.57,988,Good,8.4,8.066666667,Right,0.28128112,0.892197883,0.026617368,0.91881525,In
